strain	genbank_accession	genbank_accession_rev	date	region	country	division	location	length	host	release_date	update_date	sra_accessions	abbr_authors	authors	institution	serotype_genbank	clade	qc.overallStatus	country_short
MH753132	MH753132	MH753132.1	2016-08-18	Asia	China			10977	Culex tritaeniorhynchus	2019-01-09	2019-01-09		Wei et al	Wei,J.,Wu,Y.,Lu,Y.,Wang,X.,Pang,L.,Ma,Z.	Shanghai Veterinary Research Institute, Chinese Academy of Agricultural Science, Department of Swine Infectious Disease		3	good	CHN
LP837226	LP837226	LP837226.1						10863		2018-04-29	2018-04-29		BARBERO et al	BARBERO,C.J.,NEBENFUHR,M.,SCHLEGL,R.,WEBER,M.,WRUSS,J.			3	good	
AB569987	AB569987	AB569987.2	1973-XX-XX	Asia	Japan	Okinawa	Okinawa Island	10965		2011-01-05	2014-03-27		Nidaira et al	Nidaira,M.,Kyan,H.,Taira,K.,Okano,S.,Itokazu,K.,Kudaka,J.,Tamanaha,K.,Takasaki,T.	Nanjo-city, Okinawa 901-1202		3	good	JPN
EF571853	EF571853	EF571853.1		Asia	Japan			10977		2007-05-27	2007-05-27		Rayner et al	Rayner,J.O.,Lednicky,J.A.,Halpern,M.D.,Aldenderfer,R.W.,McCurdy,K.S.,Sosna,W.S.,Davis,C.M.,Nevins,C.J.	Midwest Research Institute, Biotechnology		3	good	JPN
KU871343	KU871343	KU871343.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
JN381859	JN381859	JN381859.1						10977		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		3	good	
JN864064	JN864064	JN864064.1	2009-09-20	Asia	China	Yunnan		10976	Culicidae	2012-02-27	2012-02-27		Liu et al	Liu,H.,Lu,H.J.,Liu,Z.J.,Jing,J.,Jin,N.Y.	Jilin University, College of Animal Science and Veterinary Medicine, Institute of Military Veterinary		3	good	CHN
KX779522	KX779522	KX779522.1	2016-02-12	Asia	China	Sichuan		10715	Sus scrofa	2016-10-03	2016-10-03		Zhuo et al	Zhuo,X.,Cai,Y.,Zhou,Y.	ANIMTECH, Livestock and Poultry Biological Products Key Laboratory of Sichuan Province		3	good	CHN
KU871364	KU871364	KU871364.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
KU871339	KU871339	KU871339.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
EF623988	EF623988	EF623988.1	2005-08-XX	Asia	India	Up	Gorakhpur	10976		2008-05-31	2011-09-16		Bondre et al	Bondre,V.P.,Sapakal,G.N.,Sankararaman,V.,Gore,M.M.,Ayachit,V.M.,Fulmali,P.V.	Microbial Containment Complex, National Institute of Virology, Japanese encephalitis/West Nile Virus Group		3	good	IND
KU871363	KU871363	KU871363.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
MK585066	MK585066	MK585066.1	2016-03-06	Asia	China			10977	Mus musculus	2019-06-16	2019-06-16		Li et al	Li,G.,Jin,H.,Nie,X.,Zhao,Y.,Feng,N.,Cao,Z.,Tan,S.,Zhang,B.,Gai,W.,Yan,F.,Li,L.,Zhang,Y.,Li,N.,Gao,Y.,Yang,S.,Xia,X.,Wang,H.	Chinese Academy of Agricultural Sciences, Changchun Veterinary Research Institute		3	good	CHN
FJ185036	FJ185036	FJ185036.1	1986-XX-XX	Asia	China			10977	Rousettus leschenaultii	2009-12-31	2009-12-31		Liang et al	Liang,G.,Wang,J.,Fu,S.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, The Department of Viral Encephalitis		3	good	CHN
KX945367	KX945367	KX945367.1	2016-03-16	Africa	Angola			10961	Homo sapiens	2017-04-22	2017-04-22		Simon-Loriere et al	Simon-Loriere,E.,Faye,O.,Prot,M.,Casademont,I.,Fall,G.,Fernandez-Garcia,M.D.,Diagne,M.M.,Kipela,J.M.,Fall,I.S.,Holmes,E.C.,Sakuntabhai,A.,Sall,A.A.	Institut Pasteur, GFMI unit		3	good	AGO
AF254452	AF254452	AF254452.1		Asia	Taiwan			10970	Culex tritaeniorhynchus	2002-05-14	2008-03-14		Chiou et al	Chiou,S.S.,Chen,W.J.,Chiou,S.-S.,Chen,W.-J.	Chang Gung University, Parasitology		3	good	
M55506	M55506	M55506.1						10969		1993-08-02	1991-02-04		Nitayaphan et al	Nitayaphan,S.,Grant,J.A.,Chang,G.J.,Trent,D.W.			3	good	
AF080251	AF080251	AF080251.1		Asia	India			10977		1998-08-09	2001-10-30		Uchil et al	Uchil,P.D.,Satchidanandam,V.	Indian Institute of Science, Microbiology and Cell Biology		3	good	IND
KU871365	KU871365	KU871365.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
AY508812	AY508812	AY508812.1		Asia				10976		2005-01-01	2007-10-01		Shah et al	Shah,P.S.,Tanaka,M.,Khan,A.H.,Mathenge,E.G.,Fuke,I.,Takagi,M.,Igarashi,A.,Morita,K.	Institute of Tropical Medicine, Department of Virology		3	good	
JN604986	JN604986	JN604986.1	2006-04-01	Asia	South Korea			10977		2012-09-29	2012-09-29		Song et al	Song,B.H.,Yun,G.N.,Kim,J.K.,Yun,S.I.,Lee,Y.M.,Yun,S.-I.,Song,B.-H.,Kim,J.-K.,Lee,Y.-M.	College of Medicine, Chungbuk National University, Department of Microbiology		3	good	
KU871358	KU871358	KU871358.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
KU871326	KU871326	KU871326.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
AB551992	AB551992	AB551992.1	1991-XX-XX	Asia	Japan	Tokyo		10968	Sus scrofa	2010-04-01	2010-04-01		Tajima et al	Tajima,S.,Takasaki,T.,Kurane,I.,Yoshida,Y.	Department of Virology I; 1-23-1 Tayama, Shinjuku, Tokyo 162-8640		3	good	JPN
AB196926	AB196926	AB196926.1						10977		2004-12-21	2005-07-23		Zhao et al	Zhao,Z.,Date,T.,Li,Y.,Kato,T.,Miyamoto,M.,Yasui,K.,Wakita,T.	Takanobu Kato, The Tokyo Metropolitan Institute for Neuroscience, Department of Microbiology; 2-6 Musashidai, Fuchu-shi, Tokyo 183-8526		3	good	
JN381855	JN381855	JN381855.1						10977		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		3	good	
EF107523	EF107523	EF107523.1		Asia	China			10976	Sus scrofa	2006-12-12	2006-12-12		Tang et al	Tang,Q.-H.,Qiao,X.-F.,Chen,G.-L.,Zheng,X.-M.,He,W.-M.,An,L.-G.,Yan,Y.,Ma,Q.-M.	Institute of Virus Research, Northwest A&F University		3	good	CHN
AF014160	AF014160	AF014160.1						10976		1997-08-12	1997-07-30		Chen et al	Chen,L.K.,Liao,C.L.,Lai,S.C.,Huang,Y.L.,Jan,J.T.,Chin,C.	National Defense Medical Center, Institute of Preventive Medicine		3	good	
JN381863	JN381863	JN381863.1						10977		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		3	good	
ON379070	ON379070	ON379070.1	2019-07-22	Asia	India			10849	Homo sapiens	2024-05-04	2024-05-04		Prasad et al	Prasad,P.,Sudarshan,S.,Setty,R.,Hameed,S.,Vasanthapuram,R.,Pattabiraman,C.	National Institute of Mental Health and Neurosciences, Department of Neurovirology		3	good	IND
LP837228	LP837228	LP837228.1						10976		2018-04-29	2018-04-29		BARBERO et al	BARBERO,C.J.,NEBENFUHR,M.,SCHLEGL,R.,WEBER,M.,WRUSS,J.			3	good	
KU871328	KU871328	KU871328.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
AY849939	AY849939	AY849939.1						10977		2005-01-19	2005-01-19		Xiong et al	Xiong,D.,Yang,Z.,Zhao,H.,Qiao,X.,Zheng,X.,Wei,Q.,Fu,W.	College of Life Science and Technology, Biochemistry		3	good	
DD298243	DD298243	DD298243.1						10968		2006-08-16	2006-08-16		Yun et al	Yun,S.,Lee,S.H.,Lee,Y.			3	good	
LC461960	LC461960	LC461960.1	2018-03-09	Asia	Philippines	Mindanao	Agusan del Norte, Butuan City, Kinamlutan	10976	Sus scrofa	2019-08-06	2019-10-31		Maeda et al	Maeda,K.,Kuwata,R.,Shimoda,H.,Torii,S.,Supriyono,S.,Phichitraslip,T.,Jittapalapong,S.,Rerkamnuaychoke,W.,Baltazar,E.T.,Simborio,L.T.,Hadi,U.K.,Setiyono,A.,Agungpriyono,S.	Department of Veterinary Science; 1-23-1 Toyama, Shinjuku-ku, Tokyo 162-8640		3	good	PHL
EF623989	EF623989	EF623989.1	2002-XX-XX	Asia	India	Maharashtra	Bhandara District	10976		2008-05-31	2008-05-31		Bondre et al	Bondre,V.P.,Sapakal,G.N.,Sankararaman,V.,Gore,M.M.,Ayachit,V.M.,Fulmali,P.V.	Microbial Containment Complex, National Institute of Virology, Japanese encephalitis/West Nile Virus Group		3	good	IND
AY508813	AY508813	AY508813.1		Asia				10976		2005-01-01	2007-10-01		Shah et al	Shah,P.S.,Tanaka,M.,Khan,A.H.,Mathenge,E.G.,Fuke,I.,Takagi,M.,Igarashi,A.,Morita,K.	Institute of Tropical Medicine, Department of Virology		3	good	
AY303791	AY303791	AY303791.1						10970		2004-06-01	2005-07-18		Chiou et al	Chiou,S.S.,Liu,H.,Chuang,C.K.,Lin,C.C.,Chen,W.J.,Chiou,S.-S.,Chen,W.-J.	Chang Gung University, Public Health and Parasitology		3	good	
MH258853	MH258853	MH258853.1		Asia	China			10977		2018-07-14	2018-07-14		Liu et al	Liu,X.,Zhao,D.,Jia,L.,Xu,H.,Na,R.,Ge,Y.,Liu,S.,Yu,Y.,Li,Y.	National Institutes for Food and Drug Control, Department of Arbovirus Vaccine Research		3	good	CHN
JF706283	JF706283	JF706283.1	1955-XX-XX	Asia	China			10977		2011-09-25	2011-09-25		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Zhang,H.	State Key Laboratory for Infectious Disease Prevention and Control, Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention		3	good	CHN
KU871325	KU871325	KU871325.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
KU705225	KU705225	KU705225.1	1977-XX-XX	Asia	China	Yunan		10758	Culex pseudovishnui	2017-03-25	2017-03-25		Guerbois et al	Guerbois,M.,Forrester,N.L.,Rossi,S.L.,Hari,K.,Lin,D.,Weaver,S.C.	University of Texas Medical Branch, Microbiology and Immunology		3	good	CHN
JF706272	JF706272	JF706272.1	2004-XX-XX	Asia	China			10977	Culex theileri	2011-09-25	2011-09-25		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Zhang,H.	State Key Laboratory for Infectious Disease Prevention and Control, Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention		3	good	CHN
KF297916	KF297916	KF297916.1	2004-XX-XX	Asia	China	Guizhou		10976	Sus scrofa	2013-10-02	2013-12-13		Liu et al	Liu,W.J.,Zhu,M.,Pei,J.J.,Dong,X.Y.,Liu,W.,Zhao,M.Q.,Wang,J.Y.,Gou,H.C.,Luo,Y.W.,Chen,J.D.,Liu,W.-J.,Pei,J.-J.,Dong,X.-Y.,Zhao,M.-Q.,Wang,J.-Y.,Gou,H.-C.,Luo,Y.-W.,Chen,J.-D.	South China Agricultural University, College of Veterinary Medicine		3	good	CHN
OK257213	OK257213	OK257213.1		Asia	India			10864		2021-11-08	2021-11-08		Tripathi et al	Tripathi,A.,Banerjee,A.,Vrati,S.	Regional Centre for Biotechnology, Laboratory of Virology		3	good	IND
AF416457	AF416457	AF416457.1						10976		2001-09-27	2001-09-27		Zeng et al	Zeng,M.,Yu,Y.,Dong,G.,Fan,X.,Yao,Z.,Li,D.	National Institute for the Control of Pharmaceutical and Biological Products, Vaccine I		3	good	
JN381873	JN381873	JN381873.1						10975		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		3	good	
AF254453	AF254453	AF254453.1		Asia	Taiwan	Liu-Chiu Islet		10970	Armigeres subalbatus	2002-05-14	2008-03-14		Chiou et al	Chiou,S.S.,Chen,W.J.,Chiou,S.-S.,Chen,W.-J.	Chang Gung University, Parasitology		3	good	
KU871346	KU871346	KU871346.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
L78128	L78128	L78128.1						10951		2002-02-13	2005-06-29		Lei-Ron et al	Lei-Ron,J.,Kuang-Lo,C.,Chih-Feng,L.,Yen-Chan,W.,Chi-Byi,H.			3	good	
LP837227	LP837227	LP837227.1						10977		2018-04-29	2018-04-29		BARBERO et al	BARBERO,C.J.,NEBENFUHR,M.,SCHLEGL,R.,WEBER,M.,WRUSS,J.			3	good	
AB569989	AB569989	AB569989.2	1973-XX-XX	Asia	Japan	Okinawa	Okinawa Island	10965		2011-01-05	2014-03-27		Nidaira et al	Nidaira,M.,Kyan,H.,Taira,K.,Okano,S.,Itokazu,K.,Kudaka,J.,Tamanaha,K.,Takasaki,T.	Nanjo-city, Okinawa 901-1202		3	good	JPN
LC704641	LC704641	LC704641.1	2019-02-21	Asia	Japan	Kochi		10920	Sus scrofa domesticus	2022-04-06	2024-06-05		Matsui et al	Matsui,K.,Tajima,S.,Lim,K.C.,Lim,C.K.	Department of Medical Technology; 1-17-71 Fuchinobe, Chuo-ku, Sagamihara, Kanagawa 252-5201		3	good	JPN
DD298237	DD298237	DD298237.1						10818		2006-08-16	2006-08-16		Yun et al	Yun,S.,Lee,S.H.,Lee,Y.			3	good	
ON929277	ON929277	ON929277.1	2011-XX-XX	Asia	China			10299	Sus scrofa	2023-03-19	2023-03-19		Sun et al	Sun,Y.,Ding,H.	South China Agricultural University, College of Veterinary Medicine Department of Microbiology and Immunology		3	good	CHN
KU705226	KU705226	KU705226.1	1985-06-10	Asia	Sri Lanka	North Central Province	Anuradhapura	10989	Culex tritaeniorhynchus	2017-03-25	2017-03-25		Guerbois et al	Guerbois,M.,Forrester,N.L.,Rossi,S.L.,Hari,K.,Lin,D.,Weaver,S.C.	University of Texas Medical Branch, Microbiology and Immunology		3	good	LKA
DD367828	DD367828	DD367828.1						10976		2006-12-20	2006-12-20		Takahashi et al	Takahashi,M.,Ishibashi,M.,Goda,H.,Ishikawa,T.,Miyake,S.,Fukuya,I.,Onishi,T.,Nabeshima,T.,Morita,K.			3	good	
KU871340	KU871340	KU871340.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
JN381860	JN381860	JN381860.1						10977		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		3	good	
KU871334	KU871334	KU871334.1	2015-02-02	Asia	China			10299		2016-10-10	2016-10-10		Hou et al	Hou,W.	Institute of Microbiology and Epidemiology, Department of Vector Biology and Control		3	good	CHN
KF667313	KF667313	KF667313.1	2008-XX-XX	Asia	Taiwan			10926	Culex tritaeniorhynchus	2014-10-01	2014-10-21		Su et al	Su,C.L.,Yang,C.F.,Teng,H.J.,Lu,L.C.,Lin,C.,Tsai,K.H.,Chen,Y.Y.,Chen,L.Y.,Chang,S.F.,Shu,P.Y.,Su,C.-L.,Yang,C.-F.,Lu,L.-C.,Teng,H.-J.,Tsai,K.-H.,Chang,M.-C.,Hu,H.-C.,Chen,Y.-Y.,Chen,L.-Y.,Chang,S.-F.,Shu,P.-Y.	Centers for Disease Control, Center for Research, Diagnostics and Vaccine Development		3	good	
JQ086763	JQ086763	JQ086763.1	2009-09-01	Asia	China			10976	Sus scrofa	2012-03-03	2012-03-03		Liu et al	Liu,H.,Lu,H.J.,Liu,Z.J.,Jing,J.,Ren,J.Q.,Liu,Y.Y.,Lu,F.,Jin,N.Y.	Jilin University, College of Animal Science and Veterinary Medicine, Institute of Military Veterinary		3	good	CHN
JN381864	JN381864	JN381864.1						10977		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		3	good	
GQ199609	GQ199609	GQ199609.1		Asia	South Korea			10968		2009-07-05	2009-07-23		Yun et al	Yun,S.I.,Kim,S.Y.,Rice,C.M.,Lee,Y.M.,Song,B.H.,Choi,Y.J.,Kim,J.M.,Lee,C.H.,Yun,S.-I.,Lee,Y.-M.	Chungbuk National University, College of Medicine, Department of Microbiology		3	good	
PP336430	PP336430	PP336430.1	1982-XX-XX	Asia	India			10961	Homo sapiens	2024-02-20	2024-02-20		Marano et al	Marano,J.M.,Walker,A.,Bosco-Lauth,A.M.,Bowen,R.A.	Colorado State University, Biomedical Sciences		3	good	IND
ON379065	ON379065	ON379065.1	2019-07-14	Asia	India			10836	Homo sapiens	2024-05-04	2024-05-04		Prasad et al	Prasad,P.,Sudarshan,S.,Setty,R.,Hameed,S.,Vasanthapuram,R.,Pattabiraman,C.	National Institute of Mental Health and Neurosciences, Department of Neurovirology		3	good	IND
AB569980	AB569980	AB569980.2	1975-XX-XX	Asia	Japan	Okinawa	Okinawa Island	10977	Sus scrofa	2011-01-05	2014-03-27		Nidaira et al	Nidaira,M.,Kyan,H.,Taira,K.,Okano,S.,Itokazu,K.,Kudaka,J.,Tamanaha,K.,Takasaki,T.	Nanjo-city, Okinawa 901-1202		3	good	JPN
LP837641	LP837641	LP837641.1						10977		2018-04-29	2018-04-29		SCHLEGL et al	SCHLEGL,R.,NEBENFUHR,M.,WEBER,M.,WRUSS,J.			3	good	
JN381853	JN381853	JN381853.1						10977		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		3	good	
AB196923	AB196923	AB196923.1						10977		2004-12-21	2005-07-23		Zhao et al	Zhao,Z.,Date,T.,Li,Y.,Kato,T.,Miyamoto,M.,Yasui,K.,Wakita,T.	Takanobu Kato, The Tokyo Metropolitan Institute for Neuroscience, Department of Microbiology; 2-6 Musashidai, Fuchu-shi, Tokyo 183-8526		3	good	
