strain	genbank_accession	genbank_accession_rev	date	region	country	division	location	length	host	release_date	update_date	sra_accessions	abbr_authors	authors	institution	serotype_genbank	clade	qc.overallStatus	country_short
MH184572	MH184572	MH184572.1	2017-XX-XX	Asia	China			10964	Culex tritaeniorhynchus	2019-04-30	2019-04-30		De et al	De,W.,Qiqi,T.,Huan,Z.,Xin,Z.,Huiqiong,Z.	Institue of Pathogenic Microbiology, Guangdong Provincial Center for Disease Control and Prevention		1	good	CHN
JF499790	JF499790	JF499790.1	2009-XX-XX	Asia	Taiwan			10965	Culicidae	2011-12-13	2011-12-13		Chen et al	Chen,Y.-Y.,Fan,Y.-C.,Tu,W.-C.,Chang,R.-Y.,Shih,C.-C.,Lu,I.-H.,Chien,M.-S.,Lee,W.-C.,Chen,T.-H.,Chang,G.-J.,Chiou,S.-S.,Fang,Y.-C.	National Chung Hsing University, Graduate Institute of Microbiology and Public Health		1	good	
ON804799	ON804799	ON804799.1	2020-11-XX	Asia	Singapore			10941	Culex tritaeniorhynchus	2022-12-10	2022-12-10		Lim et al	Lim,M.J.,Loh,Z.Y.,Yeo,H.L.,Yenamandra,S.P.,Kong,M.,Pang,H.Y.,Lee,M.H.,Humaidi,M.,Chua,C.,Griffiths,J.,Ng,L.C.,Hapuarachchi,H.C.,Mailepessov,D.	Environmental Health Institute, Field Ecology, EETD		1	good	SGP
OM572544	OM572544	OM572544.1	2017-XX-XX	Asia	China	Yunnan		10965	Culicidae	2023-01-16	2023-01-16		Li et al	Li,F.,Feng,Y.,Fu,S.,Liang,G.,Wang,H.	Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention		1	good	CHN
JN381844	JN381844	JN381844.1						10965		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		1	good	
HQ893545	HQ893545	HQ893545.1	2009-08-14	Asia	China			10965	Sus scrofa	2011-03-06	2011-11-16		Cao et al	Cao,Q.S.,Li,X.M.,Zhu,Q.Y.,Wang,D.D.,Chen,H.C.,Qian,P.,Cao,Q.,Zhu,Q.,Li,X.,Chen,H.	Division of Animal Infectious Disease, College of Veterinary Medicine, Huazhong Agricultural University, Department of Virology		1	good	CHN
KT957421	KT957421	KT957421.1	2010-06-XX	Asia	China	Yunnan Province		10965	Culex tritaeniorhynchus	2016-04-15	2016-04-19		Zhang et al	Zhang,H.L.,Feng,Y.	Yunnan Institute of Endemic Disease Control and Prevention		1	good	CHN
AB698909	AB698909	AB698909.1	2004-XX-XX	Asia	Japan	Mie		10965	Sus scrofa domesticus	2012-08-17	2012-08-17		Tajima et al	Tajima,S.,Kotaki,A.,Yamaguchi,Y.,Nerome,R.,Kurane,I.,Takasaki,T.	Department of Virology 1; Toyama 1-23-1, Shinjuku, Tokyo 162-8640		1	good	JPN
GQ902061	GQ902061	GQ902061.1		Asia	Thailand			10942	Sus scrofa	2010-10-04	2012-02-23		Carney et al	Carney,J.,Daly,J.M.,Nisalak,A.,Solomon,T.,Collett,J.	University of Nottingham, School of Vet Med & Sci		1	good	THA
OR605600	OR605600	OR605600.1	2010-XX-XX	Asia	South Korea			10919	Sus scrofa	2023-10-30	2023-10-30		Yeh et al	Yeh,J.-Y.,Kim,S.H.,Ga,Y.J.,Cho,Y.H.,Kim,J.W.,Kim,C.	Incheon National University, Incheon National University		1	good	
PP682373	PP682373	PP682373.1	2023-05-25	Asia	China	Hainan		10299	Culex tritaeniorhynchus	2024-05-05	2024-05-05		Wu et al	Wu,Q.,Sun,D.,Zaman,W.,Wang,F.,Wang,S.,Liu,Y.,Liu,P.,Zeng,X.,Yuan,Z.,Xia,H.	Wuhan Institute of Virology, Chinese Academic and Science, Key Laboratory of Virology and Biosafety		1	good	CHN
OM572534	OM572534	OM572534.1	2016-XX-XX	Asia	China	Shandong		11017	Culicidae	2023-01-16	2023-01-16		Li et al	Li,F.,Zhang,W.,Fu,S.,Yin,Q.,Wang,H.	Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention		1	good	CHN
PP682374	PP682374	PP682374.1	2023-05-25	Asia	China	Hainan		10299	Culex tritaeniorhynchus	2024-05-05	2024-05-05		Wu et al	Wu,Q.,Sun,D.,Zaman,W.,Wang,F.,Wang,S.,Liu,Y.,Liu,P.,Zeng,X.,Yuan,Z.,Xia,H.	Wuhan Institute of Virology, Chinese Academic and Science, Key Laboratory of Virology and Biosafety		1	good	CHN
OM572550	OM572550	OM572550.1	2018-XX-XX	Asia	China	Zhejiang		10967	Culicidae	2023-01-16	2023-01-16		Li et al	Li,F.,Fu,S.,Wang,Z.,Yan,J.,Liang,L.,Wang,H.	Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention		1	good	CHN
GQ902058	GQ902058	GQ902058.1	1982-XX-XX	Asia	Thailand			10942	Sus scrofa	2010-10-04	2012-02-23		Carney et al	Carney,J.,Daly,J.M.,Nisalak,A.,Solomon,T.,Collett,J.	University of Nottingham, School of Vet Med & Sci		1	good	THA
AB698907	AB698907	AB698907.1	2005-XX-XX	Asia	Japan	Tokyo		10965	Sus scrofa domesticus	2012-08-17	2012-08-17		Tajima et al	Tajima,S.,Kotaki,A.,Yamaguchi,Y.,Nerome,R.,Kurane,I.,Takasaki,T.	Department of Virology 1; Toyama 1-23-1, Shinjuku, Tokyo 162-8640		1	good	JPN
JN381851	JN381851	JN381851.1						10965		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		1	good	
KT229575	KT229575	KT229575.1	2010-08-XX	Asia	China	Yunnan Province		10965	Culex tritaeniorhynchus	2015-09-09	2015-09-09		Sun et al	Sun,Y.J.,Feng,Y.,Zhang,Y.Z.,Yang,W.H.,Zhang,H.L.	Yunnan Institute of Endemic Disease Control and Prevention		1	good	CHN
HM366552	HM366552	HM366552.1	2008-09-XX	Asia	China			10965	Homo sapiens	2010-12-06	2010-12-06		Wang et al	Wang,L.,Fu,S.,Zhang,H.,Ye,X.,Yu,D.,Deng,Z.,Yuan,J.,Zhai,Y.,Li,M.,Lv,Z.,Chen,W.,Jiang,H.,Gao,X.,Cao,Y.,Wang,H.,Tang,Q.,Liang,G.	Institute for Viral Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		1	good	CHN
LC687612	LC687612	LC687612.1	2021-07-17	Asia	Japan			10920	Phoca vitulina	2022-03-01	2022-03-01		Fujii et al	Fujii,M.,Ito,S.,Matsugo,H.,Takenaka-Uema,A.,Chambers,J.K.,Murakami,S.,Uchida,K.,Horimoto,T.	Faculty of Agriculture, Department of Veterinary Microbiology; 1-1-1, Yayoi, Bunkyo-ward, Tokyo, Tokyo 113-0032		1	good	JPN
OK423757	OK423757	OK423757.1	2020-09-XX	Asia	China			10964	Sus scrofa	2022-05-21	2022-05-21		Nie et al	Nie,M.	College of Veterinary Medicine, Sichuan Agricultural University		1	good	CHN
MT859416	MT859416	MT859416.1						10965		2022-04-09	2022-04-09		Bondre et al	Bondre,V.P.,Pavitrakar,D.V.,Mali,D.N.	ICMR-National Institute of Virology, Encephalitis Group		1	good	
EU429297	EU429297	EU429297.1	2007-XX-XX	Asia	China			10965		2008-03-01	2009-07-07		Zhang et al	Zhang,J.S.,Zhao,Q.M.,Zhang,P.H.,Jia,N.,Cao,W.C.,Zhang,J.-S.,Zhao,Q.-M.,Zhang,P.-H.,Cao,W.-C.	Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity, Department of Epidemiology		1	good	CHN
JN381835	JN381835	JN381835.1						10965		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		1	good	
KR908702	KR908702	KR908702.1	2005-XX-XX	Asia	South Korea	Gunsan-Si		10964	Culex tritaeniorhynchus	2016-12-31	2016-12-31		Yun et al	Yun,S.-M.,Cha,G.W.,Jeong,Y.E.	Korea National Institute of Health, Division of Arboviruses		1	good	
JF706270	JF706270	JF706270.1	2006-XX-XX	Asia	China			10965	Culex tritaeniorhynchus	2011-09-25	2011-09-25		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Zhang,H.	State Key Laboratory for Infectious Disease Prevention and Control, Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention		1	good	CHN
JN381841	JN381841	JN381841.1						10965		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		1	good	
KF667325	KF667325	KF667325.1	2012-XX-XX	Asia	Taiwan			10914	Culex tritaeniorhynchus	2014-10-01	2014-10-21		Su et al	Su,C.L.,Yang,C.F.,Teng,H.J.,Lu,L.C.,Lin,C.,Tsai,K.H.,Chen,Y.Y.,Chen,L.Y.,Chang,S.F.,Shu,P.Y.,Su,C.-L.,Yang,C.-F.,Lu,L.-C.,Teng,H.-J.,Tsai,K.-H.,Chang,M.-C.,Hu,H.-C.,Chen,Y.-Y.,Chen,L.-Y.,Chang,S.-F.,Shu,P.-Y.	Centers for Disease Control, Center for Research, Diagnostics and Vaccine Development		1	good	
LC461958	LC461958	LC461958.1	2017-08-14	Asia	Thailand	Nakornnayok Province	Banna District	10967	Sus scrofa	2019-08-06	2019-10-31		Maeda et al	Maeda,K.,Kuwata,R.,Shimoda,H.,Torii,S.,Supriyono,S.,Phichitraslip,T.,Jittapalapong,S.,Rerkamnuaychoke,W.,Baltazar,E.T.,Simborio,L.T.,Hadi,U.K.,Setiyono,A.,Agungpriyono,S.	Department of Veterinary Science; 1-23-1 Toyama, Shinjuku-ku, Tokyo 162-8640		1	good	THA
KF667319	KF667319	KF667319.1	2009-XX-XX	Asia	Taiwan			10914	Culex tritaeniorhynchus	2014-10-01	2014-10-21		Su et al	Su,C.L.,Yang,C.F.,Teng,H.J.,Lu,L.C.,Lin,C.,Tsai,K.H.,Chen,Y.Y.,Chen,L.Y.,Chang,S.F.,Shu,P.Y.,Su,C.-L.,Yang,C.-F.,Lu,L.-C.,Teng,H.-J.,Tsai,K.-H.,Chang,M.-C.,Hu,H.-C.,Chen,Y.-Y.,Chen,L.-Y.,Chang,S.-F.,Shu,P.-Y.	Centers for Disease Control, Center for Research, Diagnostics and Vaccine Development		1	good	
LC557017	LC557017	LC557017.1	2012-08-XX	Asia	Japan			10221	Sus scrofa domesticus	2020-07-14	2020-07-14		Matsui et al	Matsui,K.,Tajima,S.,Lim,C.K.,Kubo,H.,Daibata,M.,Tanaka,M.,Takasaki,T.,Lim,K.C.,Nagataki,Y.,Takegami,T.	Medical Technology; 1-17-71 Fuchinobe, Chuo-ku, Sagamihara-shi, Kanagawa 252-5201		1	good	JPN
LC513838	LC513838	LC513838.1	2017-09-05	Asia	Japan	Ishikawa	Monzenmachi	10513	Culex tritaeniorhynchus	2020-03-13	2020-03-13		Faizah et al	Faizah,A.N.,Kobayashi,D.,Isawa,H.,Amoa-Bosompem,M.,Murota,K.,Higa,Y.,Futami,K.,Shimada,S.,Kim,K.S.,Itokawa,K.,Watanabe,M.,Tsuda,Y.,Minakawa,N.,Miura,K.,Hirayama,K.,Sawabe,K.	Medical Entomology; Toyama 1-23-1, Shinjuku, Tokyo 162-8640		1	good	JPN
LC708275	LC708275	LC708275.1	2017-08-15	Asia	Japan	Kochi		10902	Sus scrofa domesticus	2022-05-12	2022-05-12		Matsui et al	Matsui,K.,Tajima,S.,Lim,C.K.	Department of Medical Technology; 1-17-71 Fuchinobe, Chuo-ku, Sagamihara, Kanagawa 252-5201		1	good	JPN
MF124316	MF124316	MF124316.1	2016-08-XX	Asia	China			10965	Sus scrofa	2018-03-26	2018-03-26		Feng et al	Feng,Y.	College of Veterinary Medicine, Sichuan Agricultural University		1	good	CHN
MH184575	MH184575	MH184575.1	2017-XX-XX	Asia	China			10964	Culex tritaeniorhynchus	2019-04-30	2019-04-30		De et al	De,W.,Qiqi,T.,Huan,Z.,Xin,Z.,Huiqiong,Z.	Institue of Pathogenic Microbiology, Guangdong Provincial Center for Disease Control and Prevention		1	good	CHN
MK495877	MK495877	MK495877.1	2017-09-XX	Asia	South Korea			10964	Phocidae	2021-04-13	2021-04-13		Jung et al	Jung,J.Y.,Kim,H.J.,Lee,K.,Choi,J.G.,Kim,Y.H.,Lee,K.K.,Kim,Y.D.,So,B.,Kang,H.E.,Choi,E.J.,Lee,J.H.	Animal and Plant Quarantine Agency, Foreign Animal Disease Division		1	good	
OR531689	OR531689	OR531689.1	2021-07-XX	Asia	China			10965	Culex	2023-10-24	2023-10-24		Li et al	Li,C.,Zhao,W.	Yangzhou University, College of Veterinary Medicine		1	good	CHN
JN381833	JN381833	JN381833.1						10965		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		1	good	
MH385014	MH385014	MH385014.1	2016-XX-XX	Asia	China			10976	Culicidae	2018-11-11	2018-11-11		Xiao et al	Xiao,P.,Han,J.,Zhang,Y.,Li,C.,Guo,X.,Wen,S.,Tian,M.,Li,Y.,Wang,M.,Liu,H.,Ren,J.,Zhou,H.,Lu,H.,Jin,N.	Yanbian University, Medical College		1	good	CHN
MT134112	MT134112	MT134112.1	2018-XX-XX	Asia	China	Ningxia		10967	Homo sapiens	2020-06-10	2020-06-10		Liu et al	Liu,W.,Fu,S.,Ma,X.,Chen,X.,Wu,D.,Zhou,L.,Yin,Q.,Li,F.,He,Y.,Lei,W.,Li,Y.,Xu,S.,Wang,H.,Wang,Z.,Yu,H.,Liang,G.	National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Department of Arbovirus, NHC Key Laboratory of Biosafety		1	good	CHN
FJ495189	FJ495189	FJ495189.1	2007-08-XX	Asia	China			10965	Sus scrofa	2009-01-04	2013-04-09		Zheng et al	Zheng,H.,Shan,T.,Deng,Y.,Sun,C.,Yuan,S.,Yin,Y.,Tong,G.	Shanghai Veterinary Research Insitute, Swine Infectious Disease		1	good	CHN
MF542268	MF542268	MF542268.1	2013-XX-XX	Asia	China			10965	Sus scrofa	2017-11-08	2017-11-08		Zheng et al	Zheng,X.,Zheng,H.,Tong,G.	Shanghai Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Department of Swine Infectious Diseases		1	good	CHN
KT229572	KT229572	KT229572.1	2010-08-XX	Asia	China	Yunnan Province		10965	Culex tritaeniorhynchus	2015-09-09	2015-09-09		Sun et al	Sun,Y.J.,Feng,Y.,Zhang,Y.Z.,Yang,W.H.,Zhang,H.L.	Yunnan Institute of Endemic Disease Control and Prevention		1	good	CHN
LC704880	LC704880	LC704880.1	2018-10-26	Asia	Japan	Kochi		10822	Bos taurus	2022-04-07	2022-04-07		Matsui et al	Matsui,K.,Tajima,S.,Lim,K.C.,Lim,C.K.	Department of Medical Technology; 1-17-71 Fuchinobe, Chuo-ku, Sagamihara, Kanagawa 252-5201		1	good	JPN
JF706279	JF706279	JF706279.1	1977-XX-XX	Asia	China			10965	Culex pseudovishnui	2011-09-25	2011-09-25		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Zhang,H.	State Key Laboratory for Infectious Disease Prevention and Control, Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention		1	good	CHN
ON929278	ON929278	ON929278.1	2014-XX-XX	Asia	China			10299	Sus scrofa	2023-03-19	2023-03-19		Sun et al	Sun,Y.,Ding,H.	South China Agricultural University, College of Veterinary Medicine Department of Microbiology and Immunology		1	good	CHN
JN381839	JN381839	JN381839.1						10964		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		1	good	
JN381834	JN381834	JN381834.1						10965		2011-09-24	2011-09-24		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Wang,W.	Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, State Key Laboratory for Infectious Disease Prevention and Control		1	good	
KT229573	KT229573	KT229573.1	2010-08-XX	Asia	China	Yunnan Province		10965	Culex tritaeniorhynchus	2015-09-09	2015-09-09		Sun et al	Sun,Y.J.,Feng,Y.,Zhang,Y.Z.,Yang,W.H.,Zhang,H.L.	Yunnan Institute of Endemic Disease Control and Prevention		1	good	CHN
LC461957	LC461957	LC461957.1	2016-09-08	Asia	Japan	Yamaguchi	Yoshida	10965	Culex tritaeniorhynchus	2019-08-06	2019-10-31		Maeda et al	Maeda,K.,Kuwata,R.,Shimoda,H.,Torii,S.,Supriyono,S.,Phichitraslip,T.,Jittapalapong,S.,Rerkamnuaychoke,W.,Baltazar,E.T.,Simborio,L.T.,Hadi,U.K.,Setiyono,A.,Agungpriyono,S.	Department of Veterinary Science; 1-23-1 Toyama, Shinjuku-ku, Tokyo 162-8640		1	good	JPN
JF706268	JF706268	JF706268.1	2009-XX-XX	Asia	China			10965	Culex tritaeniorhynchus	2011-09-25	2011-09-25		Pan et al	Pan,X.L.,Liu,H.,Wang,H.Y.,Fu,S.H.,Liu,H.Z.,Zhang,H.L.,Li,M.H.,Gao,X.Y.,Wang,J.L.,Sun,X.H.,Lu,X.J.,Zhai,Y.G.,Meng,W.S.,He,Y.,Wang,H.Q.,Han,N.,Wei,B.,Wu,Y.G.,Feng,Y.,Yang,D.J.,Wang,L.H.,Tang,Q.,Xia,G.,Kurane,I.,Rayner,S.,Liang,G.D.,Liang,G.,Fu,S.,Zhang,H.	State Key Laboratory for Infectious Disease Prevention and Control, Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention		1	good	CHN
AB853904	AB853904	AB853904.1	2010-XX-XX	Asia	Japan	Aichi		10958	Bos taurus	2013-09-18	2014-07-01		Kako et al	Kako,N.,Suzuki,S.,Sugie,N.,Kato,T.,Yanase,T.,Yamakawa,M.,Shirafuji,H.	Kyushu Research Station; 2702 Chuzan, Kagoshima, Kagoshima 891-0105		1	good	JPN
JF499789	JF499789	JF499789.1	2009-XX-XX	Asia	Taiwan			10965	Culicidae	2011-12-13	2011-12-13		Chen et al	Chen,Y.-Y.,Fan,Y.-C.,Tu,W.-C.,Chang,R.-Y.,Shih,C.-C.,Lu,I.-H.,Chien,M.-S.,Lee,W.-C.,Chen,T.-H.,Chang,G.-J.,Chiou,S.-S.,Fang,Y.-C.	National Chung Hsing University, Graduate Institute of Microbiology and Public Health		1	good	
OM572533	OM572533	OM572533.1	2016-XX-XX	Asia	China	Shandong		10831	Culicidae	2023-01-16	2023-01-16		Li et al	Li,F.,Zhang,W.,Fu,S.,Yin,Q.,Wang,H.	Chinese Center for Disease Control and Prevention, National Institute for Viral Disease Control and Prevention		1	good	CHN
