strain	genbank_accession	genbank_accession_rev	date	region	country	division	location	length	host	release_date	update_date	clade_membership	sra_accessions	abbr_authors	authors	institution
PP478074	PP478074	PP478074.1	2015-12-31	Asia	South Korea			10946	Homo sapiens	2024-03-20	2024-03-20	5		Seo et al	Seo,S.-U.,Lee,A.-R.	The Catholic University of Korea, Department of Microbiology, College of Medicine
PP417678	PP417678	PP417678.1	2023-09-04	Asia	South Korea			225	Culex pipiens complex sp.	2024-03-18	2024-03-18			Chang et al	Chang,K.-S.	Korea Disease Control and Prevention Agency, Capital Regional Center for Disease Control and Prevention
PP336430	PP336430	PP336430.1	1982-XX-XX	Asia	India			10961	Homo sapiens	2024-02-20	2024-02-20	3		Marano et al	Marano,J.M.,Walker,A.,Bosco-Lauth,A.M.,Bowen,R.A.	Colorado State University, Biomedical Sciences
PP336429	PP336429	PP336429.1	2003-XX-XX	Asia	Vietnam			10965	Culex tritaeniorhynchus	2024-02-20	2024-02-20	1		Marano et al	Marano,J.M.,Walker,A.,Miller,B.,Bosco-Lauth,A.M.,Bowen,R.A.	Colorado State University, Biomedical Sciences
PP066791	PP066791	PP066791.1	2023-XX-XX	Asia	India			177	Sus scrofa	2024-01-23	2024-01-23			Danalaxmi et al	Danalaxmi,M.,Mote,A.B.,Gupta,I.,Dhanze,H.,Kumar,M.S.	Indian Veterinary Research institute, Veterinary Public Health
PP066790	PP066790	PP066790.1	2023-XX-XX	Asia	India			176	Sus scrofa	2024-01-23	2024-01-23			Danalaxmi et al	Danalaxmi,M.,Mote,A.B.,Gupta,I.,Dhanze,H.,Kumar,M.S.	Indian Veterinary Research institute, Veterinary Public Health
PP066789	PP066789	PP066789.1	2023-XX-XX	Asia	India			176	Sus scrofa	2024-01-23	2024-01-23			Danalaxmi et al	Danalaxmi,M.,Mote,A.B.,Gupta,I.,Dhanze,H.,Kumar,M.S.	Indian Veterinary Research institute, Veterinary Public Health
PP057999	PP057999	PP057999.1	2018-06-04	Europe	Spain			10289		2024-01-19	2024-01-29	3		Mendoza et al	Mendoza,P.,Ortiz-Alvarez,L.	Vircell S.A., I+D, Molecular Diagnostics
OR757322	OR757322	OR757322.1	2020-08-XX	Asia	China			681	Culicidae	2023-11-22	2023-11-22			Xiao et al	Xiao,P.	Wenzhou University, Institute of Virology
OR757321	OR757321	OR757321.1	2020-08-XX	Asia	China			681	Culicidae	2023-11-22	2023-11-22			Xiao et al	Xiao,P.	Wenzhou University, Institute of Virology
OR757320	OR757320	OR757320.1	2020-08-XX	Asia	China			681	Culicidae	2023-11-22	2023-11-22			Xiao et al	Xiao,P.	Wenzhou University, Institute of Virology
OR757319	OR757319	OR757319.1	2020-08-XX	Asia	China			1500	Culicidae	2023-11-22	2023-11-22			Xiao et al	Xiao,P.	Wenzhou University, Institute of Virology
OR757318	OR757318	OR757318.1	2020-08-XX	Asia	China			1500	Culicidae	2023-11-22	2023-11-22			Xiao et al	Xiao,P.	Wenzhou University, Institute of Virology
OR711406	OR711406	OR711406.1	2022-10-XX	Asia	China			10965	Anatidae	2023-11-08	2023-11-08	1		Li et al	Li,C.,Zhao,W.	Yangzhou University, College of Veterinary Medicine
OR605600	OR605600	OR605600.1	2010-XX-XX	Asia	South Korea			10919	Sus scrofa	2023-10-30	2023-10-30	1		Yeh et al	Yeh,J.-Y.,Kim,S.H.,Ga,Y.J.,Cho,Y.H.,Kim,J.W.,Kim,C.	Incheon National University, Incheon National University
OR587840	OR587840	OR587840.1	2023-09-04	Asia	South Korea	Incheon City		225	Culex pipiens complex	2024-03-08	2024-03-08			Chang et al	Chang,K.-S.	Korea Disease Control and Prevention Agency, Capital Regional Center for Disease Control and Prevention
OR531689	OR531689	OR531689.1	2021-07-XX	Asia	China			10965	Culex	2023-10-24	2023-10-24	1		Li et al	Li,C.,Zhao,W.	Yangzhou University, College of Veterinary Medicine
OR500440	OR500440	OR500440.1	2020-10-11	Asia	South Korea			10984	Culex orientalis	2023-10-10	2023-11-20	5		Lee et al	Lee,A.-R.,Lee,S.-H.,Kim,S.-H.,Hong,S.-Y.,Seo,S.-U.	The Catholic university of Korea
